roi_id,f_mean,f_std,f_max,f_min,fneu_mean,fneu_max,alpha,f_range,f_snr,fneu_f_ratio,high_alpha,low_snr,fneu_exceeds_f,extreme_range,fc_mean,fc_min,fc_negative_pct,fc_negative,high_fc_negative,dff_max,dff_min,dff_std,dff_explosion,dff_implosion,high_dff_noise,exclude,caution,good_quality
649,175.89589,47.07825,928.13055,41.619007,208.53432,719.2157,0.7,886.51154,3.7362452,1.1855553,True,False,True,True,29.921865,-116.41401,24.746993510596685,True,True,78.92558,-53.33787,14.871175,True,True,True,True,True,-2
650,156.21796,53.11678,518.8797,8.741711,272.6342,985.52277,0.3,510.138,2.9410284,1.7452167,False,False,True,True,74.42768,-87.40627,6.094221722951625,True,False,35.886917,-10.92581,3.6386425,True,True,True,True,True,-2
651,335.14005,101.92405,2397.4978,36.903698,235.65892,747.0747,0.3,2360.594,3.288135,0.70316553,False,False,False,True,264.44235,-22.786964,0.007020992768377449,True,False,5.6328673,-1.1092507,0.4656692,False,False,False,False,False,-2
652,387.22296,87.239235,861.23126,102.56865,296.73734,694.59607,0.3,758.6626,4.438633,0.76632166,False,False,False,False,298.20172,16.088104,0.0,False,False,2.5302536,-0.91440076,0.40142924,False,False,False,False,False,-2
653,1213.8529,383.44803,2431.805,212.2954,274.7673,803.07446,0.7,2219.5095,3.1656256,0.22635964,True,False,False,False,1021.5159,2.5514526,0.0,False,False,4.2846136,-0.99438053,0.6640595,False,False,False,False,True,-2
654,121.5228,33.0611,534.9335,23.06731,183.11107,691.4361,0.3,511.86615,3.6757033,1.5068042,False,False,True,True,66.58947,-35.22705,1.1985837654587215,True,False,7.3485217,-2.1981325,1.022589,False,False,False,False,False,-2
655,397.5697,118.31335,2041.8898,84.264496,336.9541,1280.1475,0.39331838,1957.6252,3.3603115,0.84753466,False,False,True,True,265.03943,-56.404137,0.1313928646653494,True,False,7.908304,-1.4987719,0.82751876,False,False,False,False,False,-2
656,1058.9952,389.11627,2275.7122,131.08195,333.81155,684.70844,0.7,2144.6301,2.7215393,0.31521535,True,False,False,False,825.3273,36.27516,0.0,False,False,3.360229,-0.8929405,0.3899347,False,False,False,False,True,-2
657,410.0838,130.74403,1145.8196,101.846405,382.5055,877.45087,0.48605424,1043.9731,3.1365392,0.93274957,False,False,True,False,224.16537,-112.45064,1.1454248202124353,True,False,17.412848,-5.5149026,1.3312144,True,True,False,True,False,-2
658,208.70938,78.27622,648.4201,24.39299,305.6389,751.47095,0.38253433,624.0271,2.6663191,1.4644233,False,False,True,False,91.791985,-96.83174,4.264751607305844,True,False,30.334496,-16.73923,4.100993,True,True,True,True,True,-2
659,1388.8772,813.89764,3237.1174,176.00359,332.20142,864.2388,0.7,3061.1138,1.7064519,0.23918703,True,True,False,False,1156.3362,85.49269,0.0,False,False,3.1076674,-0.7268547,0.23767468,False,False,False,False,True,-2
660,678.55255,218.85855,1746.9685,184.31009,538.64874,1210.0582,0.7,1562.6584,3.100416,0.7938202,True,False,False,False,301.4985,-159.46033,2.3229456073660244,True,False,25.662308,-7.0166225,1.8943292,True,True,False,True,True,-2
661,438.34265,187.11354,1469.1062,48.009884,357.8082,1002.84106,0.3,1421.0963,2.342656,0.8162751,False,False,True,True,331.00015,-50.444954,0.12537487086388302,True,False,14.549423,-1.581898,0.75224674,True,False,False,True,False,-2
